player_name,team_abbr,position,position_family,overall,trait_grade,trait_delta_vs_madden,performance_grade,performance_weight,macabets_rating,final_delta_vs_madden,rating_source
Christian Gonzalez,NE,CB,DB,98.0,96.51,-1.4899999999999949,,0.0,96.51,-1.4899999999999949,Madden 27 baseline
Patrick Surtain II,DEN,CB,DB,97.0,96.14,-0.8599999999999994,,0.0,96.14,-0.8599999999999994,Madden 27 baseline
Jessie Bates III,ATL,FS,DB,94.0,92.03,-1.9699999999999989,,0.0,92.03,-1.9699999999999989,Madden 27 baseline
Trent McDuffie,LA,CB,DB,94.0,93.31,-0.6899999999999977,,0.0,93.31,-0.6899999999999977,Madden 27 baseline
Denzel Ward,CLE,CB,DB,93.0,92.52,-0.480000000000004,,0.0,92.52,-0.480000000000004,Madden 27 baseline
Derwin James Jr,LAC,SS,DB,93.0,91.25,-1.75,,0.0,91.25,-1.75,Madden 27 baseline
Antoine Winfield Jr,TB,FS,DB,93.0,90.98,-2.019999999999996,,0.0,90.98,-2.019999999999996,Madden 27 baseline
Kyle Hamilton,BAL,SS,DB,92.0,90.65,-1.3499999999999943,,0.0,90.65,-1.3499999999999943,Madden 27 baseline
Xavier McKinney,GB,SS,DB,92.0,90.27,-1.730000000000004,,0.0,90.27,-1.730000000000004,Madden 27 baseline
Derek Stingley Jr,HOU,CB,DB,92.0,91.86,-0.14000000000000057,,0.0,91.86,-0.14000000000000057,Madden 27 baseline
Brian Branch,DET,SS,DB,91.0,89.43,-1.5699999999999932,,0.0,89.43,-1.5699999999999932,Madden 27 baseline
Kerby Joseph,DET,FS,DB,91.0,89.33,-1.6700000000000017,,0.0,89.33,-1.6700000000000017,Madden 27 baseline
Devon Witherspoon,SEA,CB,DB,91.0,90.08,-0.9200000000000017,,0.0,90.08,-0.9200000000000017,Madden 27 baseline
Budda Baker,ARI,SS,DB,90.0,88.16,-1.8400000000000034,,0.0,88.16,-1.8400000000000034,Madden 27 baseline
Jaylon Johnson,CHI,CB,DB,90.0,90.28,0.28000000000000114,,0.0,90.28,0.28000000000000114,Madden 27 baseline
Sauce Gardner,IND,CB,DB,90.0,89.87,-0.12999999999999545,,0.0,89.87,-0.12999999999999545,Madden 27 baseline
Jalen Ramsey,PIT,FS,DB,90.0,89.53,-0.46999999999999886,,0.0,89.53,-0.46999999999999886,Madden 27 baseline
Minkah Fitzpatrick,NYJ,SS,DB,89.0,88.11,-0.8900000000000006,,0.0,88.11,-0.8900000000000006,Madden 27 baseline
Quinyon Mitchell,PHI,CB,DB,89.0,88.73,-0.269999999999996,,0.0,88.73,-0.269999999999996,Madden 27 baseline
Cooper DeJean,PHI,CB,DB,89.0,88.5,-0.5,,0.0,88.5,-0.5,Madden 27 baseline
A.J. Terrell Jr,ATL,CB,DB,88.0,88.4,0.4000000000000057,,0.0,88.4,0.4000000000000057,Madden 27 baseline
Talanoa Hufanga,DEN,SS,DB,88.0,86.5,-1.5,,0.0,86.5,-1.5,Madden 27 baseline
Charvarius Ward Sr,IND,CB,DB,88.0,88.38,0.37999999999999545,,0.0,88.38,0.37999999999999545,Madden 27 baseline
Jaycee Horn,CAR,CB,DB,87.0,87.09,0.09000000000000341,,0.0,87.09,0.09000000000000341,Madden 27 baseline
Kamari Lassiter,HOU,CB,DB,87.0,86.86,-0.14000000000000057,,0.0,86.86,-0.14000000000000057,Madden 27 baseline
Jalen Pitre,HOU,CB,DB,86.0,86.0,0.0,,0.0,86.0,0.0,Madden 27 baseline
Kevin Byard III,NE,FS,DB,86.0,84.56,-1.4399999999999977,,0.0,84.56,-1.4399999999999977,Madden 27 baseline
Jamel Dean,PIT,CB,DB,86.0,86.02,0.01999999999999602,,0.0,86.02,0.01999999999999602,Madden 27 baseline
Nick Emmanwori,SEA,SS,DB,86.0,84.83,-1.1700000000000017,,0.0,84.83,-1.1700000000000017,Madden 27 baseline
Marlon Humphrey,BAL,CB,DB,85.0,85.53,0.5300000000000011,,0.0,85.53,0.5300000000000011,Madden 27 baseline
Jalen Thompson,DAL,FS,DB,85.0,83.9,-1.0999999999999943,,0.0,83.9,-1.0999999999999943,Madden 27 baseline
Carlton Davis III,NE,CB,DB,85.0,85.5,0.5,,0.0,85.5,0.5,Madden 27 baseline
Joey Porter,PIT,CB,DB,85.0,84.89,-0.10999999999999943,,0.0,84.89,-0.10999999999999943,Madden 27 baseline
Julian Love,SEA,SS,DB,85.0,84.35,-0.6500000000000057,,0.0,84.35,-0.6500000000000057,Madden 27 baseline
Calen Bullock,HOU,FS,DB,84.0,83.19,-0.8100000000000023,,0.0,83.19,-0.8100000000000023,Madden 27 baseline
