dt,team,player_name,espn_id,gsis_id,pos_grp_id,pos_grp,pos_id,pos_name,pos_abb,pos_slot,pos_rank
2026-08-29T12:56:08Z,ARI,Josh Sweat,3693166,00-0034381,16,Base 4-3 D,11,Left Defensive End,LDE,1,1
2026-08-29T12:56:08Z,ARI,Roy Lopez,4040805,00-0036568,16,Base 4-3 D,24,Left Defensive Tackle,LDT,2,1
2026-08-29T12:56:08Z,ARI,Walter Nolen III,4685503,00-0040706,16,Base 4-3 D,25,Right Defensive Tackle,RDT,3,1
2026-08-29T12:56:08Z,ARI,Darius Robinson,4569480,00-0039854,16,Base 4-3 D,13,Right Defensive End,RDE,4,1
2026-08-29T12:56:08Z,ARI,Cody Simon,4429071,00-0040645,16,Base 4-3 D,26,Weakside Linebacker,WLB,5,1
2026-08-29T12:56:08Z,ARI,Mack Wilson Sr.,4040983,00-0035144,16,Base 4-3 D,27,Middle Linebacker,MLB,6,1
2026-08-29T12:56:08Z,ARI,Zaven Collins,4244606,00-0036933,16,Base 4-3 D,28,Strongside Linebacker,SLB,7,1
2026-08-29T12:56:08Z,ARI,Will Johnson,4685408,00-0040751,16,Base 4-3 D,18,Left Cornerback,LCB,8,1
2026-08-29T12:56:08Z,ARI,Budda Baker,3127287,00-0033890,16,Base 4-3 D,20,Strong Safety,SS,9,1
2026-08-29T12:56:08Z,ARI,Andrew Wingard,3918331,00-0035378,16,Base 4-3 D,21,Free Safety,FS,10,1
2026-08-29T12:56:08Z,ARI,Denzel Burke,4432668,00-0040195,16,Base 4-3 D,19,Right Cornerback,RCB,11,1
2026-08-29T12:56:08Z,ARI,Garrett Williams,4568506,00-0039007,16,Base 4-3 D,34,Nickel Back,NB,12,1
2026-08-29T12:56:08Z,ARI,Jordan Burch,4428996,00-0040137,16,Base 4-3 D,11,Left Defensive End,LDE,1,2
2026-08-29T12:56:08Z,ARI,Zachary Carter,4240619,00-0037804,16,Base 4-3 D,24,Left Defensive Tackle,LDT,2,2
2026-08-29T12:56:08Z,ARI,Andrew Billings,3051775,00-0033066,16,Base 4-3 D,25,Right Defensive Tackle,RDT,3,2
2026-08-29T12:56:08Z,ARI,Dante Stills,4362225,00-0038623,16,Base 4-3 D,13,Right Defensive End,RDE,4,2
2026-08-29T12:56:08Z,ARI,Owen Pappoe,4567219,00-0038600,16,Base 4-3 D,26,Weakside Linebacker,WLB,5,2
2026-08-29T12:56:08Z,ARI,Jack Gibbens,4249739,00-0037596,16,Base 4-3 D,27,Middle Linebacker,MLB,6,2
2026-08-29T12:56:08Z,ARI,Baron Browning,4241987,00-0036995,16,Base 4-3 D,28,Strongside Linebacker,SLB,7,2
2026-08-29T12:56:08Z,ARI,Sean Murphy-Bunting,3932886,00-0035239,16,Base 4-3 D,18,Left Cornerback,LCB,8,2
2026-08-29T12:56:08Z,ARI,Kitan Crawford,4430821,00-0040230,16,Base 4-3 D,20,Strong Safety,SS,9,2
2026-08-29T12:56:08Z,ARI,Dadrion Taylor-Demerson,4428633,00-0039864,16,Base 4-3 D,21,Free Safety,FS,10,2
2026-08-29T12:56:08Z,ARI,Starling Thomas V,4363408,00-0038663,16,Base 4-3 D,19,Right Cornerback,RCB,11,2
2026-08-29T12:56:08Z,ARI,Isaiah Oliver,3915437,00-0034357,16,Base 4-3 D,34,Nickel Back,NB,12,2
2026-08-29T12:56:08Z,ARI,Jonah Williams,4032481,00-0035944,16,Base 4-3 D,11,Left Defensive End,LDE,1,3
2026-08-29T12:56:08Z,ARI,Brodric Martin-Rhodes,4365457,00-0038939,16,Base 4-3 D,24,Left Defensive Tackle,LDT,2,3
2026-08-29T12:56:08Z,ARI,L.J. Collier,3116449,00-0035636,16,Base 4-3 D,25,Right Defensive Tackle,RDT,3,3
2026-08-29T12:56:08Z,ARI,Eku Leota,4361272,00-0038782,16,Base 4-3 D,13,Right Defensive End,RDE,4,3
2026-08-29T12:56:08Z,ARI,Karson Sharar,4709695,00-0041093,16,Base 4-3 D,26,Weakside Linebacker,WLB,5,3
2026-08-29T12:56:08Z,ARI,BJ Ojulari,4429111,00-0039155,16,Base 4-3 D,28,Strongside Linebacker,SLB,7,3
2026-08-29T12:56:08Z,ARI,Elijah Jones,4360203,00-0039823,16,Base 4-3 D,18,Left Cornerback,LCB,8,3
2026-08-29T12:56:08Z,ARI,Hudson Clark,4567158,00-0040479,16,Base 4-3 D,20,Strong Safety,SS,9,3
2026-08-29T12:56:08Z,ARI,Wydett Williams Jr.,5099542,00-0041370,16,Base 4-3 D,21,Free Safety,FS,10,3
2026-08-29T12:56:08Z,ARI,Max Melton,4698113,00-0039807,16,Base 4-3 D,19,Right Cornerback,RCB,11,3
2026-08-29T12:56:08Z,ARI,Kei'Trel Clark,4426923,00-0038984,16,Base 4-3 D,34,Nickel Back,NB,12,3
2026-08-29T12:56:08Z,ARI,Cam Horsley,4431147,00-0040517,16,Base 4-3 D,24,Left Defensive Tackle,LDT,2,4
2026-08-29T12:56:08Z,ARI,Damonic Williams,4685582,00-0041369,16,Base 4-3 D,25,Right Defensive Tackle,RDT,3,4
2026-08-29T12:56:08Z,ARI,Cameron Robertson,4900789,,16,Base 4-3 D,13,Right Defensive End,RDE,4,4
